project_cnt,success_usd_pledged_real,success_usd_goal_real,success_cnt,year_launched,main_category_group,state,country,usd_pledged_real,usd_goal_real
23,39476.72,34128.9,23,2016,"Dance, Music & Theater",successful,NZ,39476.72,34128.9
10,16801.88,13371.19,10,2017,"Arts, Crafts & Phography",successful,NZ,16801.88,13371.19
14,0,0,0,2014,"Arts, Crafts & Phography",failed,IE,903.34,55421.54
24,1272718.42,442897.36,24,2017,Games & Technology,successful,CH,1272718.42,442897.36
90,0,0,0,2014,Food,failed,NL,53802.36,1567714.41
780,17625509.11,6239004.54,780,2015,Games & Technology,successful,GB,17625509.11,6239004.54
11,77787.75,73461.75,11,2016,Fashion,successful,NO,77787.75,73461.75
1569,0,0,0,2014,"Arts, Crafts & Phography",failed,GB,392044.35,10422171.63
12,0,0,0,2014,"Film, Video & Journalism",failed,DK,6732.48,1314523.96
4637,22278516.91,13720258,4637,2014,Comics & Publishing,successful,US,22278516.91,13720258
6853,0,0,0,2013,Comics & Publishing,failed,US,3086604.35,42562138
102,261316.92,222406.73,102,2013,"Dance, Music & Theater",successful,CA,261316.92,222406.73
104,0,0,0,2016,Design,failed,FR,205445.09,4411907.95
23,994497.37,345667.72,23,2017,Fashion,successful,DE,994497.37,345667.72
9,24528.51,22984.16,9,2017,"Film, Video & Journalism",successful,NL,24528.51,22984.16
129,0,0,0,2016,"Arts, Crafts & Phography",failed,FR,46418.94,1392360.21
104,0,0,0,2012,"Arts, Crafts & Phography",failed,GB,41289.2,430416.35
2,0,0,0,2017,"Dance, Music & Theater",failed,LU,3161.98,17509.32
14,10155.29,8744,14,2015,"Dance, Music & Theater",successful,IT,10155.29,8744
26,74298.1,68232.55,26,2015,Comics & Publishing,successful,DK,74298.1,68232.55
1,0,0,0,2017,"Film, Video & Journalism",failed,LU,123.53,5827.03
10,0,0,0,2017,Fashion,failed,DK,7338.81,158008.64
1,29007.12,17075.67,1,2016,Fashion,successful,MX,29007.12,17075.67
142,1192208.51,679666.35,142,2017,Fashion,successful,GB,1192208.51,679666.35
57,0,0,0,2017,Fashion,failed,SG,52666.66,542718.37
24,162781.06,135742.4,24,2015,Comics & Publishing,successful,ES,162781.06,135742.4
28,0,0,0,2015,Food,failed,DK,3651.41,586198.44
18,96535.67,90882.8,18,2016,"Film, Video & Journalism",successful,MX,96535.67,90882.8
4200,0,0,0,2014,Fashion,failed,US,1730597.63,38328050
8,0,0,0,2014,"Dance, Music & Theater",failed,DK,1095.03,9761.72
24,63257.42,54027.16,24,2015,"Dance, Music & Theater",successful,FR,63257.42,54027.16
60,0,0,0,2015,Design,failed,SE,93118.3,5781171.95
21,422081.38,225487.12,21,2017,Comics & Publishing,successful,NL,422081.38,225487.12
104,232507.3,151121.73,104,2015,"Arts, Crafts & Phography",successful,AU,232507.3,151121.73
722,2307737.19,1848323.23,722,2013,"Dance, Music & Theater",successful,GB,2307737.19,1848323.23
14,0,0,0,2014,"Arts, Crafts & Phography",failed,DK,414.5,339934.73
1686,0,0,0,2014,"Film, Video & Journalism",failed,GB,1142945.92,56738785.7
232,4229753.17,2035160.85,232,2013,Design,successful,GB,4229753.17,2035160.85
34,0,0,0,2016,Comics & Publishing,failed,NZ,7923.02,178774.46
108,0,0,0,2015,Games & Technology,failed,NO,50290.55,2028057.53
412,8345431.61,2666150.61,412,2015,Games & Technology,successful,CA,8345431.61,2666150.61
180,0,0,0,2012,"Film, Video & Journalism",failed,GB,198709.21,4668824.08
2471,102295503.12,31745265.99,2471,2012,Games & Technology,successful,US,102295503.12,31745265.99
42,0,0,0,2017,Games & Technology,failed,AT,157796.89,3431847.59
4,8069.66,1939.25,4,2016,"Arts, Crafts & Phography",successful,LU,8069.66,1939.25
16,50738.87,19590.05,16,2014,"Arts, Crafts & Phography",successful,SE,50738.87,19590.05
575,0,0,0,2015,Design,failed,GB,789356.38,29595897.67
45,2169945.53,176637.44,45,2016,Games & Technology,successful,SE,2169945.53,176637.44
98,0,0,0,2016,"Film, Video & Journalism",failed,FR,17718.64,3091982.95
5730,46357307.46,38234237,5730,2014,"Film, Video & Journalism",successful,US,46357307.46,38234237
24,78134.04,67486.73,24,2015,"Dance, Music & Theater",successful,NO,78134.04,67486.73
66,735525.43,581570.86,66,2013,Food,successful,GB,735525.43,581570.86
108,0,0,0,2017,Design,failed,CA,286244.75,2828348.65
139,0,0,0,2016,Games & Technology,failed,CH,150153.09,3852577.54
12791,0,0,0,2015,Games & Technology,failed,US,12386277.38,1034447397
2627,0,0,0,2013,Design,failed,US,5002227.98,44157956
30,0,0,0,2017,Games & Technology,failed,IE,60455.75,480351.39
736,0,0,0,2014,Games & Technology,failed,AU,661022.66,105893861.98
8,0,0,0,2017,Food,failed,IE,5538.89,83857.48
4,11890.52,8291.54,4,2015,Fashion,successful,NZ,11890.52,8291.54
10,18420.34,15315.76,10,2016,Comics & Publishing,successful,DK,18420.34,15315.76
16,381839.31,355541.25,16,2016,"Dance, Music & Theater",successful,IT,381839.31,355541.25
12,0,0,0,2016,Fashion,failed,AT,10775.58,88792.98
15,724056.06,89485.83,15,2017,"Arts, Crafts & Phography",successful,IT,724056.06,89485.83
3000,0,0,0,2011,"Arts, Crafts & Phography",failed,US,913001.4,15149336.01
40,0,0,0,2017,Design,failed,MX,8728.33,122456.95
2,104298.29,84843.3,2,2017,Food,successful,BE,104298.29,84843.3
22,113972.48,107496.33,22,2016,Food,successful,AU,113972.48,107496.33
14,295903.09,146329.37,14,2015,Fashion,successful,ES,295903.09,146329.37
20,0,0,0,2015,Fashion,failed,IE,14983.9,278963.62
16,127236.2,119979.88,16,2017,"Film, Video & Journalism",successful,NZ,127236.2,119979.88
2,0,0,0,2017,Food,failed,LU,8893.95,62421.74
42,231032.7,146100.87,42,2016,Comics & Publishing,successful,ES,231032.7,146100.87
44,335482.13,229199.66,44,2017,"Arts, Crafts & Phography",successful,FR,335482.13,229199.66
69,221864.23,177045.58,69,2016,"Dance, Music & Theater",successful,FR,221864.23,177045.58
14,208233.69,108710.71,14,2017,Design,successful,BE,208233.69,108710.71
154,4758306.3,869074.31,154,2016,Design,successful,AU,4758306.3,869074.31
